,title,videoId
0,서울 아파트값 5억원 깨지나,GMFEwFUMeUw
1,주상복합 가격 `영화처럼 뚝`,jDYRUgGqUKA
2,아파트는 지금 소송중~,JitIQjL48Cc
3,심층]아파트가격 어떻게 될까?(R) 2013-0117-3,VWQ8TxjR-ds
4,[인수위] `주택시장 정상화` 범부처 대책 주문,3RpH_uX-lf0
5,"녹번동급매물아파트 은평구빌라,마포구빌라,서대문구빌라,유림주택",ajWZr0qBSYw
6,주택시장 정상화 처방 '속도',hU_JGh1fmsU
7,아파트거실폴딩도어 영상,qTUp-5-R8jg
8,하우스푸어 양산 책임 `정부·금융권`,EWTeL7g9X0A
9,002.기초민법_계약성립,J_-ZqxCAO4k
10,"코스피 30년 동안 15배, 배당포함 28배 수익",hxE8pPDofrg
11,반포동 쓰리룸 전세 1억5천,yFBZ1Qd4a5Y
12,20-승계조합원이 5년 경과 후 양도 시 100% 감면된 경우,H84Txag8wF4
13,괴산 문무,kChbeh5nlu8
14,프라하 부동산 아파트 Liboc.AVI,KQenLUAo_ME
15,FUN한부동산투자(분양편)-래미안금호하이리버(2013.1.3),x7PgHoObQsg
16,45-고가주택의 년도별 개정내용,SxPgKurSBd0
17,소녀감성 반전 매력! 은희 은하의 어머니~_채널A_이만갑 58회,oaRU3HmV35w
18,"TV 평생 대학 - Pyeongsaeng Univ._김난도, 명품이란 무엇인가_#001",Tvf3Cvlhjto
19,MTN 부자들의 비밀노트 -누구나 할수 있는 재무설계이야기 2013년01월07일wmv,TsCtnU6Ac5s
20,(주간부동산시황) 강남권 재건축 14주 만에 반짝 상승,r9pNkaRHOJw
21,[tbsTV] 2013 수도권 부동산 전망,V2kX3dB0Bxk
22,"""하우스푸어 30만 가구 이상...빠르게 증가""",gdHjRUUJ8kE
23,20130124_SEN 부동산 플러스_92회_플러스 투자 가이드,qAB7UqVlZGM
24,34-재건축조합원이 신축아파트 준공 5년 경과 후 양도 시 100% 감면된 경우,T_NGAhaeVoA
25,KBS스페셜 - KBS Special EP517 # 006,0hH0wqDOp7A
26,S1_17회_합정동 습격 사건,gkoGxznssm4
27,"31-재개발, 재건축아파트 양도세 계산 흐름도 및 계산 사례",wJkkggZNM6I
28,토론2.도시한옥의 재발견ㅣauri 제2차 포럼ㅣ한옥학교,jnWh2LzwC_Y
29,"금감원,`하우스푸어 대책' 보고",ysARo2NE9jY
